Item,Gold (g),Aluminum (g),Silver (g),Carbon (g),Platinum (g),Rhodium (g),Nickel (g),Tin (g),Lithium (g)
Fitbit Charge,4.99,1.74,1.5,0.46,0.14,0.02,1.79,0.53,0.27
Raspberry Pi 4,2.44,1.96,1.21,0.39,0.03,0.03,1.84,1.36,1.08
Samsung Galaxy S20,2.6,1.88,0.49,0.4,0.02,0.04,0.71,1.46,1.59
Nikon D3500,1.28,1.34,2.24,0.19,0.07,0.09,0.35,1.04,0.76
Amazon Kindle,1.55,1.2,2.14,0.91,0.18,0.05,1.31,0.52,1.42
iPad Pro,0.64,0.46,1.67,0.15,0.16,0.05,1.35,0.16,1.11
MacBook Pro,4.22,1.79,0.81,0.17,0.12,0.08,0.97,0.63,0.17
Amazon Kindle,1.1,0.9,1.46,0.96,0.12,0.01,1.41,1.11,0.6
Lenovo ThinkPad X1,4.27,0.82,1.37,0.18,0.06,0.07,0.8,0.8,2.41
Nikon D3500,0.63,0.55,0.61,0.95,0.06,0.01,0.11,0.44,0.68
Lenovo ThinkPad X1,1.26,0.56,0.93,0.59,0.15,0.04,1.06,1.44,1.28
Fitbit Charge,1.57,0.36,1.48,0.99,0.13,0.1,0.76,0.55,2.28
Apple Watch,2.69,1.24,2.16,0.28,0.05,0.05,0.26,0.82,0.36
LG OLED TV,3.6,1.92,1.53,0.36,0.19,0.04,0.21,0.2,1.54
Apple Watch,2.31,0.59,2.89,0.42,0.12,0.04,0.14,1.35,0.29
iPad Pro,1.94,0.59,2.4,0.69,0.11,0.08,1.56,0.99,1.71
Samsung Galaxy S20,1.01,1.41,1.31,0.54,0.13,0.09,0.8,1.07,1.62
MacBook Pro,1.97,0.78,2.24,0.57,0.2,0.06,0.33,1.09,1.79
Nintendo Switch,4.16,0.23,2.55,0.55,0.05,0.07,1.29,1.02,0.27
OnePlus 9 Pro,3.41,0.8,2.43,0.9,0.17,0.06,1.59,1.09,0.2
Google Pixel 6,3.64,0.63,1.73,0.13,0.17,0.05,1.12,0.89,0.5
OnePlus 9 Pro,0.76,1.25,0.37,0.78,0.19,0.08,0.53,0.96,2.02
Microsoft Surface Pro,2.58,0.31,2.32,0.15,0.09,0.04,1.27,1.27,1.57
Xbox Series X,2.88,0.95,1.77,0.23,0.04,0.04,0.32,0.79,2.89
Fitbit Charge,4.88,0.13,2.43,0.28,0.17,0.09,0.99,1.49,1.51
iPhone 11,0.62,0.56,0.18,0.49,0.19,0.03,1.56,1.41,2.95
HP Spectre x360,0.57,0.26,1.87,0.17,0.05,0.03,0.39,0.39,2.33
Google Pixel 6,4.45,1.62,1.77,0.35,0.01,0.06,1.36,1.08,2.18
Lenovo ThinkPad X1,3.07,0.36,2.35,0.54,0.02,0.06,0.81,0.54,2.69
iPhone 11,0.62,0.11,1.05,0.29,0.12,0.04,1.55,0.84,0.95
Sony PlayStation 5,4.44,0.64,2.86,0.87,0.03,0.09,0.48,0.13,1.49
iPad Pro,3.08,0.23,1.43,0.62,0.13,0.1,0.19,0.78,2.38
OnePlus 9 Pro,1.41,1.43,0.69,0.19,0.12,0.09,0.24,0.3,2.9
Nikon D3500,4.89,1.32,2.85,0.57,0.18,0.1,0.14,0.12,0.97
Microsoft Surface Pro,3.81,0.45,1.24,0.94,0.03,0.04,0.15,1.4,0.31
LG OLED TV,3.92,0.94,1.85,0.36,0.01,0.01,1.93,1.42,2.25
iPhone 11,4.9,0.62,2.51,0.29,0.03,0.09,0.89,0.62,1.56
Nintendo Switch,2.95,1.99,1.8,0.75,0.13,0.09,0.49,0.43,1.79
Nikon D3500,4.66,0.28,0.33,0.12,0.01,0.05,1.32,1.41,0.55
HP Spectre x360,3.78,0.49,1.56,0.34,0.11,0.09,1.22,0.98,0.34
Amazon Kindle,3.98,0.24,2.96,0.38,0.03,0.08,0.26,0.74,1.8
Fitbit Charge,0.76,1.37,1.49,0.2,0.1,0.01,0.47,0.43,0.7
Microsoft Surface Pro,4.37,0.95,2.84,0.36,0.17,0.04,0.11,0.21,2.15
LG OLED TV,3.74,1.03,0.4,0.82,0.11,0.05,1.97,0.58,2.89
Fitbit Charge,3.96,1.07,1.43,0.75,0.15,0.1,0.12,0.1,0.43
Microsoft Surface Pro,0.39,1.49,1.65,0.4,0.16,0.04,1.14,0.85,0.21
MacBook Pro,1.52,0.78,0.62,0.67,0.09,0.06,1.77,1.24,2.6
Raspberry Pi 4,3.01,0.77,0.69,0.48,0.19,0.03,1.85,0.72,2.62
Raspberry Pi 4,4.7,1.91,0.28,0.8,0.09,0.06,1.8,1.46,1.66
Microsoft Surface Pro,4.71,1.92,1.81,0.59,0.15,0.03,1.2,0.32,2.58
Raspberry Pi 4,0.73,1.61,2.53,0.63,0.16,0.05,1.22,1.28,2.76
iPad Pro,1.83,0.63,2.23,0.62,0.11,0.03,0.22,1.35,2.71
HP Spectre x360,3.42,1.3,0.4,0.45,0.06,0.05,1.52,1.38,1.93
Nintendo Switch,3.07,0.3,1.79,0.72,0.07,0.1,1.01,1.05,2.1
LG OLED TV,4.35,0.19,1.31,0.42,0.06,0.02,0.76,0.58,2.77
HP Spectre x360,2.54,0.57,1.57,0.18,0.15,0.05,0.48,0.27,2.71
Lenovo ThinkPad X1,4.73,0.27,1.2,0.78,0.13,0.1,1.85,0.46,2.21
Apple Watch,1.74,1.74,2.84,0.36,0.01,0.08,0.47,0.46,0.29
iPad Pro,4.53,0.22,0.99,0.69,0.19,0.03,1.29,0.61,0.17
Nintendo Switch,1.98,1.04,2.73,0.34,0.03,0.07,0.42,1.17,0.83
iPad Pro,0.17,0.65,1.06,0.86,0.09,0.07,1.36,0.42,2.03
Sony PlayStation 5,2.01,0.33,0.81,0.42,0.11,0.01,1.83,0.3,2.94
iPad Pro,1.83,1.96,1.38,0.21,0.15,0.09,0.97,1.38,1.64
Samsung Galaxy S20,2.35,1.11,1.16,0.69,0.04,0.07,1.96,0.25,0.74
MacBook Pro,0.66,0.84,1.66,0.22,0.09,0.03,0.36,1.07,1.47
Nikon D3500,3.34,0.62,1.09,0.29,0.19,0.05,1.48,0.79,1.56
MacBook Pro,1.14,0.13,1.82,0.45,0.05,0.08,1.21,1.17,1.83
Lenovo ThinkPad X1,2.07,1.2,0.36,0.98,0.05,0.09,1.09,0.68,0.9
Microsoft Surface Pro,4.41,1.71,2.97,0.51,0.12,0.09,1.79,0.71,0.13
Samsung Galaxy S20,1.95,1.09,0.84,0.99,0.08,0.06,1.0,0.61,0.23
Nintendo Switch,1.52,0.63,0.93,0.64,0.12,0.1,0.67,0.62,1.29
iPhone 11,0.11,0.8,2.35,0.21,0.08,0.09,0.72,0.55,0.95
Sony PlayStation 5,3.5,1.03,1.71,0.14,0.01,0.08,0.2,0.68,1.57
Sony PlayStation 5,3.23,1.69,0.26,0.87,0.07,0.06,0.4,0.54,1.26
iPad Pro,1.34,0.84,2.94,0.85,0.13,0.05,0.85,0.81,0.59
Canon EOS R5,3.2,0.81,1.72,0.52,0.05,0.07,0.98,0.3,1.23
iPhone 11,0.67,0.65,2.11,0.52,0.03,0.07,1.05,0.26,1.03
iPhone 11,2.74,0.48,1.17,0.28,0.11,0.01,0.12,0.15,0.75
Dell XPS 13,1.58,1.09,0.96,0.65,0.05,0.04,0.88,1.09,0.57
Apple Watch,3.06,1.77,0.63,0.3,0.1,0.04,1.74,1.49,0.67
MacBook Pro,1.96,1.85,2.13,0.85,0.03,0.06,0.67,0.96,1.66
iPhone 11,1.11,1.66,2.42,0.89,0.08,0.07,0.4,1.45,2.56
iPhone 11,2.95,0.37,0.61,0.26,0.07,0.01,0.63,0.51,1.31
iPhone 11,2.28,2.0,1.07,0.55,0.04,0.08,1.09,0.75,2.93
Raspberry Pi 4,3.77,0.54,1.35,0.56,0.18,0.09,1.04,1.31,0.78
Microsoft Surface Pro,2.4,0.78,0.52,0.63,0.15,0.02,1.66,0.94,1.01
Sony PlayStation 5,3.67,0.48,2.25,0.16,0.19,0.09,0.67,0.39,0.19
iPad Pro,3.61,0.99,0.31,0.39,0.18,0.1,1.72,1.16,1.78
Nikon D3500,4.77,1.99,0.61,0.69,0.16,0.03,1.25,0.35,0.37
Dell XPS 13,4.19,1.85,2.29,0.71,0.07,0.1,0.87,0.89,2.8
Raspberry Pi 4,2.5,0.91,2.16,0.47,0.08,0.09,0.72,0.6,2.15
OnePlus 9 Pro,4.0,0.44,2.21,0.41,0.11,0.05,1.05,1.29,2.09
Amazon Kindle,2.59,1.41,2.76,0.35,0.06,0.03,0.42,0.11,1.88
Amazon Kindle,4.43,0.3,2.99,0.49,0.02,0.02,1.34,0.95,2.41
Lenovo ThinkPad X1,0.4,1.7,1.5,0.45,0.08,0.09,0.34,0.12,0.81
iPad Pro,2.76,0.74,1.25,0.54,0.09,0.01,0.13,1.02,0.99
LG OLED TV,0.95,0.65,0.31,0.76,0.03,0.06,0.76,0.65,2.88
LG OLED TV,2.13,1.92,2.73,0.86,0.18,0.03,0.18,0.29,2.84
Raspberry Pi 4,0.17,1.55,1.11,0.74,0.06,0.03,1.84,0.4,0.66
Apple Watch,2.5,1.19,0.13,0.2,0.06,0.02,1.68,1.5,1.44
Microsoft Surface Pro,2.78,0.24,1.53,0.12,0.19,0.05,1.92,0.33,2.02
Raspberry Pi 4,3.72,0.33,2.88,0.56,0.16,0.09,1.67,1.16,2.73
HP Spectre x360,0.99,1.08,0.49,0.33,0.15,0.03,1.34,1.17,1.42
HP Spectre x360,4.19,1.29,0.72,0.69,0.1,0.05,1.17,0.7,0.5
Xbox Series X,3.26,0.28,0.58,0.57,0.09,0.06,0.47,0.51,1.29
iPad Pro,2.27,0.31,1.85,0.3,0.01,0.01,1.93,1.19,1.77
iPad Pro,1.79,1.85,0.71,0.71,0.11,0.05,1.11,1.04,0.47
HP Spectre x360,4.72,1.75,1.86,0.91,0.09,0.09,1.75,0.49,1.13
Amazon Kindle,1.8,1.95,2.87,0.66,0.18,0.07,1.13,1.05,2.05
Nintendo Switch,2.89,0.3,0.27,0.44,0.16,0.04,1.51,1.21,1.39
Google Pixel 6,4.27,0.44,1.51,0.91,0.05,0.09,1.29,0.38,2.53
Microsoft Surface Pro,4.02,1.96,1.23,0.85,0.18,0.1,1.73,0.66,0.88
Samsung Galaxy S20,4.73,0.28,1.93,0.42,0.04,0.05,0.38,0.55,2.23
Lenovo ThinkPad X1,0.67,1.09,1.61,0.27,0.13,0.09,1.5,0.37,0.6
Dell XPS 13,0.7,1.16,2.7,0.89,0.14,0.05,1.98,1.28,2.27
OnePlus 9 Pro,3.54,1.08,1.23,0.3,0.09,0.02,0.4,1.29,0.65
LG OLED TV,1.82,0.16,1.98,0.36,0.07,0.07,1.09,1.25,1.47
MacBook Pro,4.52,1.25,0.35,0.25,0.13,0.03,1.76,0.7,1.04
Raspberry Pi 4,0.88,1.95,0.82,0.79,0.18,0.06,1.21,0.73,1.68
OnePlus 9 Pro,4.1,1.14,1.03,0.84,0.08,0.08,1.34,0.38,2.46
Sony PlayStation 5,0.49,0.93,2.84,0.47,0.16,0.03,1.35,1.0,2.75
Nintendo Switch,3.92,1.49,2.45,0.42,0.14,0.09,0.99,1.25,2.0
Google Pixel 6,1.25,1.23,0.71,0.55,0.19,0.07,1.24,1.46,2.71
iPad Pro,3.18,0.12,2.58,0.64,0.2,0.06,0.54,0.53,2.78
OnePlus 9 Pro,3.18,0.61,0.22,0.76,0.09,0.05,0.64,1.37,0.73
Apple Watch,3.66,0.39,0.75,0.4,0.09,0.08,0.37,0.59,0.63
Nintendo Switch,1.58,1.54,1.21,0.8,0.09,0.02,1.79,1.12,2.12
Google Pixel 6,0.96,1.93,2.55,0.43,0.1,0.04,0.14,1.01,2.75
Canon EOS R5,1.07,1.36,2.04,0.86,0.05,0.09,1.84,1.0,0.75
Amazon Kindle,2.09,0.83,1.13,0.22,0.16,0.01,1.87,1.21,2.68
Nikon D3500,3.65,0.43,0.42,0.96,0.17,0.02,0.61,0.51,1.47
MacBook Pro,4.41,1.39,0.55,0.58,0.03,0.04,0.54,0.15,2.04
Nintendo Switch,2.9,0.16,0.14,0.3,0.19,0.1,1.87,1.39,1.24
iPhone 11,4.19,1.9,0.38,0.2,0.06,0.08,0.47,1.05,0.96
Raspberry Pi 4,0.46,0.74,0.14,0.48,0.1,0.06,0.84,0.45,1.85
Samsung Galaxy S20,1.35,0.58,1.06,0.49,0.04,0.04,0.76,0.46,1.47
iPad Pro,2.04,1.75,1.92,0.27,0.04,0.07,1.12,1.35,2.13
LG OLED TV,2.28,0.93,2.12,0.99,0.1,0.04,0.68,0.98,0.39
Amazon Kindle,1.85,0.8,2.08,0.44,0.06,0.08,1.71,1.02,1.77
Apple Watch,0.55,0.84,1.99,0.48,0.04,0.07,0.24,0.7,2.6
OnePlus 9 Pro,3.36,1.21,2.02,0.95,0.1,0.04,0.76,1.07,0.4
Raspberry Pi 4,2.9,1.77,2.72,0.65,0.15,0.08,1.64,0.78,2.47
Nintendo Switch,2.55,1.47,1.83,0.43,0.18,0.06,1.79,0.86,1.26
Dell XPS 13,3.91,0.14,1.41,0.65,0.2,0.06,0.8,1.36,0.21
Dell XPS 13,3.87,1.1,2.08,0.74,0.05,0.07,1.78,0.37,0.14
Sony PlayStation 5,4.89,0.49,1.96,0.99,0.06,0.04,1.57,0.97,2.88
Apple Watch,3.58,1.02,1.56,0.49,0.13,0.09,1.58,0.25,2.71
MacBook Pro,3.72,1.9,0.78,0.42,0.14,0.1,1.97,0.44,1.25
iPhone 11,2.39,1.11,1.52,0.22,0.02,0.02,1.02,1.14,2.32
Dell XPS 13,1.72,0.86,0.42,0.66,0.04,0.08,1.67,1.48,0.73
Sony PlayStation 5,1.62,1.4,1.63,0.27,0.17,0.08,1.58,0.88,2.18
Microsoft Surface Pro,3.09,1.67,1.69,0.4,0.16,0.05,1.6,1.1,1.39
Xbox Series X,2.94,0.64,2.62,0.46,0.11,0.04,0.78,0.53,2.15
LG OLED TV,1.64,1.88,2.78,0.52,0.02,0.08,1.24,1.26,2.2
Nikon D3500,4.52,1.68,0.24,0.63,0.16,0.07,1.06,0.65,2.54
Fitbit Charge,3.29,1.88,0.82,0.46,0.03,0.08,1.28,1.1,1.75
Nintendo Switch,2.0,0.49,2.99,0.83,0.07,0.02,0.55,0.41,2.37
Google Pixel 6,1.17,1.16,2.67,0.28,0.02,0.05,1.87,0.3,1.99
Nintendo Switch,2.61,0.94,1.88,0.64,0.06,0.02,1.95,1.1,0.11
MacBook Pro,1.03,1.43,0.63,0.38,0.1,0.07,1.55,1.08,1.57
Microsoft Surface Pro,2.33,0.38,1.26,0.49,0.2,0.1,0.58,0.82,0.32
iPhone 11,0.16,1.07,1.05,0.63,0.11,0.07,0.32,0.36,0.47
Apple Watch,0.84,0.68,2.89,0.51,0.13,0.04,1.13,0.72,0.69
Dell XPS 13,0.27,0.12,2.88,0.53,0.02,0.03,0.86,0.89,0.62
Xbox Series X,3.71,1.92,1.32,0.27,0.2,0.05,0.23,0.65,2.98
Sony PlayStation 5,1.93,0.14,1.84,0.12,0.17,0.03,0.64,0.81,0.41
iPad Pro,2.9,0.87,2.45,0.12,0.07,0.08,1.26,1.49,1.87
HP Spectre x360,0.57,1.82,2.07,0.21,0.16,0.08,0.87,1.24,0.83
Nintendo Switch,4.94,0.56,2.83,0.5,0.15,0.04,1.44,1.49,0.82
LG OLED TV,1.92,0.61,1.97,0.99,0.16,0.06,1.55,0.39,2.87
Lenovo ThinkPad X1,0.54,0.97,2.18,0.63,0.05,0.07,0.97,0.69,2.8
Xbox Series X,4.27,0.39,1.54,0.9,0.04,0.04,0.38,0.57,1.11
Nikon D3500,4.43,0.76,2.61,0.99,0.12,0.04,1.17,0.92,2.74
Xbox Series X,2.26,0.99,2.68,0.35,0.03,0.04,1.81,0.56,0.94
Nikon D3500,4.64,1.4,1.07,0.93,0.1,0.09,1.45,1.14,0.19
Canon EOS R5,2.29,1.59,0.48,0.62,0.13,0.02,1.17,0.31,1.41
Microsoft Surface Pro,2.15,0.37,0.63,0.76,0.09,0.06,1.04,1.19,2.54
Nintendo Switch,3.9,1.98,2.02,0.66,0.06,0.03,0.59,0.48,2.69
LG OLED TV,2.84,1.63,1.71,0.19,0.11,0.1,1.75,0.38,2.79
Sony PlayStation 5,3.04,0.42,1.0,0.3,0.16,0.06,1.37,1.36,0.86
Raspberry Pi 4,4.08,1.29,0.64,0.42,0.18,0.1,1.74,0.87,2.78
Nikon D3500,0.89,0.58,0.75,0.82,0.05,0.1,0.44,1.34,2.07
Xbox Series X,2.62,1.38,2.21,0.14,0.05,0.07,1.75,1.14,1.89
iPhone 11,4.67,1.84,0.6,0.93,0.12,0.03,1.0,0.58,2.66
Apple Watch,0.42,0.76,1.87,0.96,0.16,0.06,1.68,0.22,0.15
LG OLED TV,0.7,0.27,0.33,0.77,0.03,0.02,1.84,1.16,1.6
Amazon Kindle,1.34,0.22,1.16,0.93,0.05,0.07,0.48,0.77,1.68
Microsoft Surface Pro,0.45,0.78,2.42,0.42,0.09,0.06,0.59,1.45,1.38
iPad Pro,0.87,0.84,1.99,0.3,0.18,0.05,1.48,0.72,0.66
Amazon Kindle,2.59,1.6,2.31,0.44,0.09,0.04,0.2,0.16,1.41
iPhone 11,0.69,0.71,1.06,0.17,0.15,0.08,1.72,0.76,2.7
Samsung Galaxy S20,3.99,1.13,0.91,0.44,0.16,0.09,0.46,0.99,1.1
Xbox Series X,0.44,1.89,1.3,0.84,0.18,0.04,1.07,0.4,0.34
Samsung Galaxy S20,2.18,0.2,2.0,0.84,0.16,0.06,0.69,0.47,1.64
Microsoft Surface Pro,3.05,1.03,0.22,0.54,0.12,0.06,0.11,0.49,2.55
Xbox Series X,2.41,1.18,0.99,0.82,0.03,0.06,1.6,0.35,1.84
iPhone 11,2.76,0.73,2.6,0.96,0.18,0.04,1.22,0.57,1.98
Nintendo Switch,0.8,0.45,2.85,0.89,0.06,0.08,0.22,0.36,1.19
Raspberry Pi 4,1.48,0.93,2.25,0.76,0.15,0.05,1.34,0.7,1.47
Lenovo ThinkPad X1,3.23,0.83,2.17,0.45,0.12,0.1,0.87,1.0,1.09
Google Pixel 6,0.41,0.81,2.24,0.3,0.19,0.09,0.41,0.45,0.98
Xbox Series X,2.3,1.79,1.69,0.59,0.02,0.09,1.68,1.1,1.46
Nikon D3500,3.84,1.61,0.91,0.55,0.05,0.06,1.38,0.31,0.73
OnePlus 9 Pro,0.37,1.16,2.72,0.83,0.1,0.08,0.65,0.5,0.47
Apple Watch,0.14,1.46,0.31,0.47,0.09,0.01,1.42,0.85,1.27
Nikon D3500,2.87,1.74,0.4,0.38,0.1,0.05,1.5,1.43,2.02
MacBook Pro,0.22,1.95,0.69,0.47,0.13,0.07,0.41,0.9,2.01
OnePlus 9 Pro,1.55,0.32,1.19,0.29,0.05,0.05,1.91,0.71,1.19
Nikon D3500,1.67,1.76,0.16,0.26,0.11,0.09,1.76,0.93,0.49
iPad Pro,1.27,0.4,2.38,0.67,0.08,0.04,1.09,0.69,2.8
Lenovo ThinkPad X1,2.51,1.22,0.65,0.79,0.13,0.03,1.59,1.37,2.96
Canon EOS R5,4.63,1.36,0.22,0.32,0.16,0.07,1.63,0.22,0.83
Nikon D3500,4.79,1.97,1.09,0.25,0.12,0.08,1.16,0.14,2.11
Dell XPS 13,4.35,0.36,0.42,0.49,0.01,0.02,0.21,1.29,0.75
Microsoft Surface Pro,3.93,1.81,1.04,0.47,0.04,0.02,0.91,0.5,2.6
LG OLED TV,2.64,0.97,1.33,0.48,0.11,0.08,1.82,0.32,2.92
Nintendo Switch,3.22,0.49,2.64,0.13,0.04,0.1,1.98,1.35,1.01
Dell XPS 13,0.46,1.1,2.44,0.73,0.1,0.09,0.62,0.99,0.32
Raspberry Pi 4,4.37,0.73,0.22,0.15,0.12,0.1,0.97,0.7,2.55
Google Pixel 6,3.74,1.41,0.56,0.58,0.18,0.04,0.23,0.69,2.24
LG OLED TV,0.48,1.91,0.82,0.68,0.14,0.07,1.96,0.52,2.97
Sony PlayStation 5,2.35,0.33,2.67,0.18,0.08,0.02,0.66,0.54,0.69
Dell XPS 13,0.72,1.92,2.95,0.54,0.17,0.04,0.76,0.52,2.62
Canon EOS R5,3.28,1.68,2.86,0.92,0.04,0.07,1.31,0.48,2.49
Samsung Galaxy S20,4.51,0.47,0.47,0.7,0.02,0.08,1.6,1.22,2.8
Amazon Kindle,0.45,0.43,1.3,0.6,0.16,0.07,1.07,0.97,2.9
Lenovo ThinkPad X1,4.76,1.97,2.45,0.35,0.15,0.04,0.63,0.36,0.61
Xbox Series X,4.34,1.96,2.44,0.43,0.18,0.1,1.99,1.42,2.96
Canon EOS R5,2.56,1.89,1.01,0.75,0.16,0.1,1.21,1.01,1.85
Microsoft Surface Pro,0.8,0.41,2.2,0.94,0.05,0.03,1.75,0.16,2.41
Amazon Kindle,1.87,1.21,2.02,1.0,0.12,0.07,1.22,1.14,1.93
Sony PlayStation 5,1.07,1.64,2.31,0.2,0.18,0.04,0.11,0.73,1.48
Nikon D3500,3.03,1.66,1.56,0.82,0.18,0.02,1.39,0.7,1.99
Lenovo ThinkPad X1,0.8,0.45,0.27,0.27,0.13,0.09,0.74,0.33,2.08
Google Pixel 6,1.72,0.67,1.91,0.3,0.02,0.01,1.58,0.66,2.12
Samsung Galaxy S20,2.51,0.62,1.82,0.22,0.01,0.07,1.3,0.39,1.02
HP Spectre x360,0.61,1.3,1.95,0.48,0.11,0.09,1.31,0.2,1.71
Xbox Series X,2.99,0.56,2.6,0.14,0.06,0.06,0.79,0.13,2.39
iPhone 11,4.25,0.5,0.73,0.17,0.19,0.04,1.5,1.15,1.41
Microsoft Surface Pro,4.13,0.91,1.59,0.99,0.17,0.03,0.26,0.7,1.56
Xbox Series X,3.67,1.97,1.96,0.73,0.12,0.09,0.94,0.8,0.86
Nintendo Switch,3.0,1.32,1.63,0.97,0.03,0.05,1.88,0.9,2.18
Google Pixel 6,2.86,1.77,2.38,0.69,0.01,0.05,0.97,1.15,1.73
Sony PlayStation 5,3.74,1.38,2.46,0.26,0.12,0.08,1.68,1.19,1.38
Lenovo ThinkPad X1,3.19,0.25,0.15,0.59,0.19,0.05,1.39,1.36,1.57
MacBook Pro,1.85,1.0,2.63,0.57,0.07,0.03,1.27,0.82,1.17
Canon EOS R5,1.02,0.48,2.48,0.44,0.01,0.04,1.79,0.79,1.33
Nintendo Switch,3.19,1.8,2.04,0.93,0.11,0.02,0.82,1.26,1.81
Google Pixel 6,3.94,1.72,1.77,0.29,0.15,0.06,1.61,0.3,0.71
Apple Watch,3.85,1.1,1.6,0.23,0.13,0.07,0.47,1.28,0.78
Nintendo Switch,4.9,1.01,0.97,0.44,0.12,0.03,1.1,0.76,2.67
Microsoft Surface Pro,1.89,1.44,0.64,0.77,0.12,0.04,0.85,1.19,2.59
Raspberry Pi 4,0.16,0.89,0.61,0.51,0.05,0.05,1.07,0.77,0.71
Xbox Series X,4.61,0.33,1.8,0.52,0.03,0.06,1.37,1.21,0.48
Dell XPS 13,1.14,1.91,0.42,0.2,0.18,0.01,1.38,1.36,0.29
Xbox Series X,1.58,1.89,0.47,0.26,0.11,0.1,1.29,0.33,1.13
Lenovo ThinkPad X1,1.56,1.35,0.18,0.64,0.17,0.06,1.4,0.18,2.36
Sony PlayStation 5,0.62,1.15,1.12,0.43,0.07,0.05,1.37,1.03,0.48
iPhone 11,4.39,0.19,2.15,0.46,0.12,0.01,0.37,0.59,1.14
iPad Pro,4.98,0.86,2.9,0.32,0.16,0.07,0.49,0.69,1.9
Dell XPS 13,2.92,1.45,0.78,0.8,0.1,0.09,1.38,0.18,2.36
Amazon Kindle,3.71,1.66,1.82,0.43,0.04,0.05,1.74,1.24,0.28
Nintendo Switch,4.3,0.44,1.33,0.34,0.12,0.02,1.07,1.18,2.9
Canon EOS R5,3.42,1.41,1.41,0.23,0.16,0.08,0.64,0.21,0.65
LG OLED TV,3.77,0.7,2.99,0.8,0.03,0.08,1.55,0.92,0.94
OnePlus 9 Pro,1.78,1.36,1.88,0.65,0.05,0.07,1.29,1.24,2.67
Canon EOS R5,2.15,0.62,2.79,0.65,0.18,0.05,1.6,1.39,0.76
iPad Pro,1.18,0.42,1.95,0.26,0.12,0.08,0.3,0.63,1.54
Google Pixel 6,4.66,1.16,2.22,0.2,0.02,0.05,1.55,0.27,1.45
Apple Watch,1.91,1.0,1.23,0.73,0.1,0.07,1.14,0.76,0.13
MacBook Pro,4.39,0.53,0.9,0.84,0.18,0.07,1.14,1.31,0.62
Fitbit Charge,4.67,1.27,0.55,0.51,0.03,0.06,0.35,0.67,0.35
HP Spectre x360,3.77,1.09,1.36,0.31,0.16,0.08,0.22,0.2,1.39
iPhone 11,0.96,1.81,1.32,0.98,0.14,0.02,1.37,0.61,2.18
Canon EOS R5,1.9,1.93,2.43,0.61,0.06,0.1,1.77,0.25,2.48
MacBook Pro,0.28,1.26,0.94,0.47,0.03,0.01,1.03,0.97,1.94
Google Pixel 6,3.54,1.42,1.75,0.38,0.1,0.1,0.94,1.5,1.76
Fitbit Charge,3.02,1.11,2.15,0.69,0.05,0.09,0.87,0.49,2.18
Apple Watch,3.54,0.94,1.63,0.91,0.08,0.04,0.61,1.03,2.06
Microsoft Surface Pro,4.61,1.26,2.86,0.25,0.17,0.01,0.52,0.48,2.46
Sony PlayStation 5,3.75,1.57,0.21,0.55,0.08,0.03,1.92,0.77,1.53
Apple Watch,4.11,1.08,2.3,0.17,0.17,0.02,0.31,1.05,0.29
Xbox Series X,2.99,0.34,0.85,0.56,0.17,0.06,0.53,0.95,2.79
Fitbit Charge,2.99,1.8,2.14,0.52,0.11,0.08,0.43,0.76,1.8
HP Spectre x360,2.56,1.62,1.77,0.8,0.14,0.05,0.81,0.14,2.19
MacBook Pro,0.77,0.4,2.13,0.48,0.11,0.06,1.22,0.23,2.77
iPhone 11,1.8,1.24,2.18,0.66,0.15,0.09,0.98,0.46,1.96
Lenovo ThinkPad X1,1.05,1.74,1.78,0.6,0.11,0.07,0.6,0.78,1.66
Sony PlayStation 5,3.15,1.3,1.06,0.29,0.18,0.07,0.15,0.2,1.19
Fitbit Charge,3.88,1.76,2.09,0.14,0.1,0.02,1.67,0.23,2.66
MacBook Pro,0.41,1.58,2.67,0.48,0.1,0.06,0.5,0.95,2.9
LG OLED TV,2.4,0.11,1.08,0.21,0.03,0.01,1.69,0.15,1.64
Canon EOS R5,1.62,0.42,0.55,0.42,0.14,0.1,0.16,0.7,2.2
MacBook Pro,4.04,1.36,1.95,0.85,0.01,0.05,0.82,1.05,1.24
Lenovo ThinkPad X1,2.76,0.42,2.05,0.9,0.09,0.03,0.44,0.82,0.11
Fitbit Charge,2.7,1.55,0.63,0.29,0.07,0.09,1.58,0.54,2.74
MacBook Pro,4.13,1.87,0.93,0.95,0.07,0.02,0.82,0.57,1.5
Amazon Kindle,3.4,1.15,1.5,0.67,0.05,0.04,1.48,1.14,2.39
Samsung Galaxy S20,3.93,1.15,0.42,0.97,0.08,0.04,0.17,0.76,1.35
LG OLED TV,1.0,0.65,1.19,0.3,0.11,0.01,1.31,1.01,1.43
MacBook Pro,2.49,0.44,0.79,0.47,0.11,0.05,0.81,0.65,0.34
Fitbit Charge,1.63,0.15,2.32,0.22,0.12,0.07,1.38,1.26,2.33
Nintendo Switch,3.97,0.1,1.82,0.47,0.07,0.04,1.27,1.35,2.1
Fitbit Charge,0.77,0.58,0.37,0.83,0.05,0.09,0.53,1.06,1.55
iPad Pro,0.11,0.21,0.82,0.21,0.03,0.09,1.18,0.77,1.37
MacBook Pro,0.81,1.28,0.29,0.39,0.09,0.01,2.0,0.74,0.82
iPad Pro,4.05,1.54,1.97,0.88,0.09,0.03,0.62,0.33,2.09
